address,tokens
Mysten-1,211840922339957458
Mysten-2,200080146979274672
Galaxy Digital,164852931951280672
Aftermath,151375249518349266
Luganodes,148868254201224820
Suilend,143383948658807975
Coinbase,141940920533128308
DSRV,134815161523351517
Overclock,130680519954953479
Blockscope.net,125861042829370772
BartestneT,122455441899053532
Figment,120633735820347809
Chainode Tech,119328067495365869
Chorus One,118451496941652645
RepublicCrypto,116887112418073668
Durian,115581552839994180
Persimmon,115580157283399632
n1stake,112628453797582140
Staketab,110244908579540995
BlockVision,108782871927282214
Triton One,104597265479657073
mrgn,103779674959996929
Everstake,96088175454316685
Blockdaemon,95806770818458543
P2P.ORG,90569823342319396
Moonlet,86748468736058941
Ahoy Validator,86023787137824521
Cosmostation,85680274894513837
Staking Defense League,85584920649621507
KiligLab,83347507786135039
ContributionDAO,82970329552547380
Alchemy,80339651820764079
Coinage x DAIC,80163569423605723
Artifact,80114375600568437
Nodeinfra,79180387389760708
Stardust Staking,78878408723629157
OKXEarn,78443400151996568
Kraken,77958163954258861
TPT,77865226703976891
P-OPS Team,76385947726650961
TrustedPoint,75815139263197018
ChainIDE,75343738820727278
LumiWave,74076986551857611
Kiln,72779406826233156
HEEBOO,66495594700140371
01node,65454377115240086
Swyke,65365781146519417
Ankr,65355788840793333
StakingCabin,65217949394388027
Chainflow,64187689387858671
Laine,63658159370279220
Staking Facilities,62921006278183003
Stakin,61883129680566910
Citadel.one,57591663506958838
ORBR,56882468513882615
HashedPotatoes,55818417555952573
Anchorage Digital-2,54267358294435606
Haedal Protocol,51839437015777195
Studio Mirai,51328928230119158
Scale3Labs,45880581745043016
AlphaFi,45604326004846574
Shinlabs,45366678225750741
Allnodes,44324715775316111
Cetus,44109435546540481
NAVI Protocol,41503765059193378
Nelrann,40844135509674977
Nansen | Stake to Stack Points,39735255049113373
H2O Nodes,38515583049352366
Nodes.Guru,38161387265338526
Astro-Stakers,38087728707050928
proofgroup,37754255627025347
Imperator.co,37706183254418404
B-Harvest,37560664939985413
SynergyNodes,37542470509064158
SyncNode,35441808935495438
Obelisk,35232542286332677
Interest Labs,35221673413825282
Suiet,34507159061884054
Kriya Validator,33909483586407257
Chainbase Staking,33732529151123617
Ika,33267563514536039
Anchorage Digital-1,32685215079564344
Brightlystake,32508759619846432
Sentio,32426576846059392
Karrier One,32188889792302059
Cogent Crypto,31885444080852924
Stakely,31077571469476167
Surf,30859012546612648
Bucket Protocol,30400242943653730
Asymmetric Research,30181669549839770
Ledger by P2P.ORG,30152289071238427
Hinode Technologies,29914667959477963
Omnistake,29833658238406865
HashKey Cloud,29093007985245616
ProStaking,29028304526404856
BLRD,28983022901935702
QuantNode,28977265680104647
A41,28947392168749212
TDMTech,28759243362675560
iBriz.ai,28739233057738483
XPRV,28305137988661786
Latitude.sh,27860073980261914
Cypher Capital,27509853795573044
Forbole,27496309220859161
GiveRep,27094071559120333
[NODERS] x Talentum,25976868123858766
Swiss Staking,25755350025883439
hoh.zone,25542673234768838
stakefish,24840232593864062
MIDL.dev,24550962249760916
Peeranha,23639111978324090
Neuler,23509342203264478
ZKV,22551516009689381
SenseiNode,21662178060092252
Encapsulate,20055431306694966
BiXinKelePool,17193507403188667
Node Guardians,16009102406156110
DoubleUp,15991074099387886
FP Validated,15055815370488870
Scallop,14981920988233912
InfStones,13668030565702591
TenX Protocols,3131585444793463
